Date;Open;High;Low;Close;Adj Close;Volume;;Date;sentiment_polarity;sentiment_neg;sentiment_neu;sentiment_pos;news_count
2.02.2023;148.8999939;151.1799927;148.1699982;150.8200073;149.7905579;118339000;;30.07.2022;0.17;0.0715;0.852;0.0765;2
3.02.2023;148.0299988;157.3800049;147.8300018;154.5;153.4454193;154357300;;31.07.2022;0.3149;0.0952;0.8167;0.0883;10
6.02.2023;152.5700073;153.1000061;150.7799988;151.7299957;150.6943207;69858300;;1.08.2022;0.559970588;0.042176471;0.841470588;0.116352941;34
7.02.2023;150.6399994;155.2299957;150.6399994;154.6499939;153.5943756;83322600;;2.08.2022;0.394894737;0.033947368;0.871;0.094894737;19
8.02.2023;153.8800049;154.5800018;151.1699982;151.9199982;150.8830261;64120100;;3.08.2022;0.498884615;0.045;0.842038462;0.112923077;26
9.02.2023;153.7799988;154.3300018;150.4199982;150.8699951;149.8401947;56007100;;4.08.2022;0.3365625;0.042375;0.878625;0.0790625;16
10.02.2023;149.4600067;151.3399963;149.2200012;151.0099945;150.2082214;57450700;;5.08.2022;0.354;0.049772727;0.851545455;0.098545455;22
13.02.2023;150.9499969;154.2599945;150.9199982;153.8500061;153.0331726;62199000;;6.08.2022;0.560636364;0.026090909;0.834818182;0.138909091;11
14.02.2023;152.1199951;153.7700043;150.8600006;153.1999969;152.3865967;61707600;;7.08.2022;0.325;0.019428571;0.911285714;0.069571429;7
15.02.2023;153.1100006;155.5;152.8800049;155.3300018;154.5053101;65573800;;8.08.2022;0.3408;0.0443;0.84855;0.1071;20
16.02.2023;153.5099945;156.3300018;153.3500061;153.7100067;152.8938904;68167900;;9.08.2022;0.350157895;0.0375;0.879394737;0.083078947;38
17.02.2023;152.3500061;153;150.8500061;152.5500031;151.7400665;59144100;;10.08.2022;0.5495;0.036653846;0.873038462;0.090423077;26
21.02.2023;150.1999969;151.3000031;148.4100037;148.4799957;147.6916504;58867200;;11.08.2022;0.584727273;0.028545455;0.878545455;0.092863636;22
22.02.2023;148.8699951;149.9499969;147.1600037;148.9100037;148.1193695;51011300;;12.08.2022;0.347666667;0.031757576;0.883030303;0.085151515;33
23.02.2023;150.0899963;150.3399963;147.2400055;149.3999939;148.6067657;48394200;;13.08.2022;0.406;0.0195;0.9255;0.055;2
24.02.2023;147.1100006;147.1900024;145.7200012;146.7100067;145.9310608;55469600;;14.08.2022;0.038;0.016333333;0.915833333;0.068;6
27.02.2023;147.7100067;149.1699982;147.4499969;147.9199982;147.1346436;44998500;;15.08.2022;0.523;0.025;0.895538462;0.079461538;39
28.02.2023;147.0500031;149.0800018;146.8300018;147.4100037;146.6273499;50547000;;16.08.2022;0.435357143;0.035809524;0.878357143;0.085857143;42
1.03.2023;146.8300018;147.2299957;145.0099945;145.3099976;144.5385132;55479000;;17.08.2022;0.222857143;0.045178571;0.868142857;0.086642857;28
2.03.2023;144.3800049;146.7100067;143.8999939;145.9100037;145.1353302;52238100;;18.08.2022;0.33224;0.05072;0.88952;0.0598;26
3.03.2023;148.0399933;151.1100006;147.3300018;151.0299988;150.2281342;70732300;;19.08.2022;0.6568;0.03784;0.85676;0.10548;25
6.03.2023;153.7899933;156.3000031;153.4600067;153.8300018;153.0132751;87558000;;20.08.2022;0.4615;0.027;0.884666667;0.088333333;6
7.03.2023;153.6999969;154.0299988;151.1300049;151.6000061;150.7950897;56182000;;21.08.2022;0.3932;0.0366;0.8805;0.0829;10
8.03.2023;152.8099976;153.4700012;151.8300018;152.8699951;152.0583344;47204800;;22.08.2022;0.576708333;0.048;0.856833333;0.095333333;24
9.03.2023;153.5599976;154.5399933;150.2299957;150.5899963;149.790451;53833600;;23.08.2022;0.382307692;0.047115385;0.865846154;0.087076923;26
10.03.2023;150.2100067;150.9400024;147.6100006;148.5;147.7115631;68572400;;24.08.2022;0.53015;0.0223;0.892675;0.085025;40
13.03.2023;147.8099976;153.1399994;147.6999969;150.4700012;149.6710968;84457100;;25.08.2022;0.430071429;0.040428571;0.870571429;0.089;14
14.03.2023;151.2799988;153.3999939;150.1000061;152.5899963;151.7798462;73695900;;26.08.2022;0.579846154;0.032461538;0.855076923;0.112538462;26
15.03.2023;151.1900024;153.25;149.9199982;152.9900055;152.1777191;77167900;;27.08.2022;0.134;0.05;0.834666667;0.1155;6
16.03.2023;152.1600037;156.4600067;151.6399994;155.8500061;155.0225372;76161100;;28.08.2022;0.497625;0.04575;0.839875;0.1145;8
17.03.2023;156.0800018;156.7400055;154.2799988;155;154.1770477;98944600;;29.08.2022;0.458264706;0.071764706;0.834823529;0.093441176;34
20.03.2023;155.0700073;157.8200073;154.1499939;157.3999939;156.5643005;73641400;;30.08.2022;0.513705882;0.062294118;0.840705882;0.096764706;17
21.03.2023;157.3200073;159.3999939;156.5399933;159.2799988;158.4343262;73938300;;31.08.2022;0.365;0.061833333;0.846944444;0.091333333;18
22.03.2023;159.3000031;162.1399994;157.8099976;157.8300018;156.9920197;75701800;;1.09.2022;0.356888889;0.047481481;0.884222222;0.068148148;27
23.03.2023;158.8300018;161.5500031;157.6799927;158.9299927;158.0861664;67622100;;2.09.2022;0.543515152;0.025757576;0.892666667;0.08169697;33
24.03.2023;158.8600006;160.3399963;157.8500061;160.25;159.3991699;59196500;;3.09.2022;0.335625;0.071;0.838375;0.090625;8
27.03.2023;159.9400024;160.7700043;157.8699951;158.2799988;157.4396515;52390300;;4.09.2022;0.422;0.034857143;0.821285714;0.143857143;7
28.03.2023;157.9700012;158.4900055;155.9799957;157.6499939;156.812973;45992200;;5.09.2022;0.532352941;0.043764706;0.855529412;0.100588235;17
29.03.2023;159.3699951;161.0500031;159.3500061;160.7700043;159.9164276;51305700;;6.09.2022;0.39153125;0.053875;0.86534375;0.08071875;32
30.03.2023;161.5299988;162.4700012;161.2700043;162.3600006;161.4979706;49501700;;7.09.2022;0.523970588;0.029529412;0.879073529;0.091352941;68
31.03.2023;162.4400024;165;161.9100037;164.8999939;164.0244904;68749800;;8.09.2022;0.513898305;0.030966102;0.88220339;0.086813559;59
